,Date,Company,Customer Acquisition Costs (CAC),Churn Rate (%),Average Order Size ($),Monthly Recurring Revenue (MRR) ($),Annual Run Rate (ARR) ($),Cash Runway (Months),Burn Rate ($/Month),Gross Sales ($),Monthly Active Users (MAU),Net Promoter Score (NPS),LTV/CAC Ratio
0,2019-01-01,HealthCareCo_1,585.34,14.36,125.27,57588.44,1098223.09,17.5,20622.9,572686.6,204,-26,12.7
1,2019-02-01,HealthCareCo_1,523.35,12.81,904.16,43298.13,1065170.93,6.9,71900.49,414008.51,20143,85,10.81
2,2019-03-01,HealthCareCo_1,631.24,1.57,257.96,27211.22,1424339.22,32.7,46591.81,766417.64,2326,-25,7.25
3,2019-04-01,HealthCareCo_1,235.44,8.29,477.8,91650.26,287417.79,28.9,56042.84,282915.71,4335,-38,7.32
4,2019-05-01,HealthCareCo_1,509.06,3.94,281.05,110576.46,1755428.43,28.0,69672.41,52988.34,17820,50,3.84
5,2019-06-01,HealthCareCo_1,609.74,17.44,621.73,66859.64,1494235.83,19.9,66696.1,446725.86,24758,-3,11.47
6,2019-07-01,HealthCareCo_1,222.25,5.69,674.48,143317.43,836099.1,32.9,43864.03,877059.48,8162,9,13.03
7,2019-08-01,HealthCareCo_1,491.74,17.5,600.94,87263.83,1580257.96,6.5,40908.42,785665.04,23391,9,14.41
8,2019-09-01,HealthCareCo_1,531.39,15.49,672.17,69883.79,862064.18,31.2,15435.45,479419.36,12588,24,14.78
9,2019-10-01,HealthCareCo_1,52.4,2.21,968.04,83849.8,301051.1,19.5,29199.32,821863.17,13089,25,2.83
10,2019-11-01,HealthCareCo_1,398.69,3.55,671.93,110447.96,1038158.52,35.0,75825.08,201205.75,5766,-40,8.74
11,2019-12-01,HealthCareCo_1,155.75,15.77,911.34,50657.1,1440396.62,8.8,23502.84,426445.66,5179,-33,9.67
12,2020-01-01,HealthCareCo_1,415.94,2.66,149.06,12498.19,1717535.69,25.4,69168.83,496312.22,24976,24,7.19
13,2020-02-01,HealthCareCo_1,93.51,17.19,124.97,73338.26,948206.63,21.9,50686.62,637392.53,7055,-22,1.43
14,2020-03-01,HealthCareCo_1,447.51,4.46,835.21,95989.19,1765897.27,27.8,11803.58,170458.83,8531,62,11.38
15,2020-04-01,HealthCareCo_1,132.44,13.61,564.29,96828.16,945085.62,6.4,23991.36,798784.02,3012,17,2.36
16,2020-05-01,HealthCareCo_1,669.21,13.74,924.11,63168.77,237036.37,15.1,56726.11,719794.92,20658,39,12.27
17,2020-06-01,HealthCareCo_1,392.71,11.72,823.24,11452.62,1340518.18,21.9,34785.31,694896.36,18336,-19,13.54
18,2020-07-01,HealthCareCo_1,497.52,12.59,532.66,35849.86,1133484.23,27.7,5876.73,342448.85,24156,70,9.85
19,2020-08-01,HealthCareCo_1,449.93,5.34,639.45,118991.76,759056.11,11.5,10795.57,465012.19,23488,-40,2.2
20,2020-09-01,HealthCareCo_1,583.97,11.91,555.05,50872.64,695565.47,7.7,61531.61,552168.18,14426,42,5.95
21,2020-10-01,HealthCareCo_1,483.06,18.47,717.45,10845.03,1160092.04,22.4,42448.5,506678.69,9400,-9,10.69
22,2020-11-01,HealthCareCo_1,59.69,4.58,378.08,70636.75,287046.25,30.6,74704.35,681069.63,1393,16,7.17
23,2020-12-01,HealthCareCo_1,305.54,4.16,104.72,36844.65,985916.17,10.0,76337.27,212282.16,24135,-15,12.46
24,2021-01-01,HealthCareCo_1,141.78,14.5,827.63,133221.67,1719924.51,33.9,28335.28,255537.23,3591,5,7.51
25,2021-02-01,HealthCareCo_1,202.03,2.64,663.45,30264.91,1651925.45,14.6,19826.47,190859.17,7124,8,14.7
26,2021-03-01,HealthCareCo_1,366.07,12.39,845.75,53435.43,372985.41,19.0,28901.95,782194.14,17534,62,10.64
27,2021-04-01,HealthCareCo_1,474.94,14.57,478.31,96175.2,183994.14,20.8,29927.5,66798.7,17694,-8,11.06
28,2021-05-01,HealthCareCo_1,582.48,14.5,490.76,104553.37,1681836.45,18.5,76380.9,63471.99,21146,-42,14.62
29,2021-06-01,HealthCareCo_1,451.18,17.1,483.44,95265.63,1523440.68,35.5,18859.8,810897.03,21807,75,14.26
30,2021-07-01,HealthCareCo_1,256.77,5.61,378.21,133252.4,859760.9,34.5,23175.51,214077.12,18303,-31,14.46
31,2021-08-01,HealthCareCo_1,179.94,11.46,93.22,127278.15,265084.25,25.3,9247.1,157871.25,11734,63,9.27
32,2021-09-01,HealthCareCo_1,86.88,3.91,457.04,62098.82,1443784.65,32.2,69869.79,350254.42,8052,76,7.96
33,2021-10-01,HealthCareCo_1,627.8,17.89,72.79,87960.32,936031.36,29.1,19685.6,631598.5,1761,2,1.37
34,2021-11-01,HealthCareCo_1,330.32,19.6,314.59,133257.17,1081188.62,14.9,67699.03,891782.3,6274,-34,1.86
35,2021-12-01,HealthCareCo_1,84.07,10.34,25.95,103012.52,88366.04,35.2,71047.44,737532.96,16048,-32,12.68
36,2022-01-01,HealthCareCo_1,332.27,16.05,379.81,128016.02,1135261.21,16.8,60910.49,233685.37,14248,45,10.31
37,2022-02-01,HealthCareCo_1,310.78,11.46,742.82,120611.71,1756428.13,12.3,42832.9,100482.78,27449,-24,2.04
38,2022-03-01,HealthCareCo_1,59.42,4.05,208.87,44109.99,275828.7,8.8,45610.75,652444.07,29392,66,8.79
39,2022-04-01,HealthCareCo_1,336.37,13.05,903.83,95975.67,165898.28,23.1,44316.08,417780.46,4674,40,10.42
40,2022-05-01,HealthCareCo_1,74.22,10.12,820.88,81962.69,178072.55,29.3,75599.87,769622.68,20324,76,8.49
41,2022-06-01,HealthCareCo_1,434.35,14.6,672.75,33865.36,1526886.8,31.5,35326.37,135204.94,2088,41,6.0
42,2022-07-01,HealthCareCo_1,531.9,7.0,277.74,130818.0,1131527.73,8.6,56702.21,682405.53,20026,78,14.55
43,2022-08-01,HealthCareCo_1,292.36,18.87,307.74,93333.42,960571.57,35.8,35626.67,177775.78,11631,63,1.59
44,2022-09-01,HealthCareCo_1,625.22,3.1,580.57,108445.22,645202.61,31.3,49527.87,367737.18,1696,-36,2.57
45,2022-10-01,HealthCareCo_1,466.24,7.92,334.15,142742.46,534667.8,32.3,78117.2,744011.15,4678,3,13.16
46,2022-11-01,HealthCareCo_1,188.72,7.71,991.75,63721.79,1199412.71,15.3,32707.15,545910.29,23354,51,4.95
47,2022-12-01,HealthCareCo_1,210.79,1.5,218.07,43049.82,169403.82,22.9,14507.33,469747.23,5317,-9,5.3
48,2023-01-01,HealthCareCo_1,110.4,16.89,414.0,123917.53,603731.87,21.0,38401.8,510957.59,7445,87,7.96
49,2023-02-01,HealthCareCo_1,491.56,8.88,690.72,108573.78,1363132.57,20.1,5284.26,683089.74,19937,30,10.14
50,2023-03-01,HealthCareCo_1,390.96,11.63,648.0,149786.07,167977.33,6.6,77312.6,407617.68,13968,61,12.14
51,2023-04-01,HealthCareCo_1,680.72,4.37,112.76,148188.0,1024278.08,16.4,77020.88,363366.41,6875,-40,12.25
52,2023-05-01,HealthCareCo_1,254.08,7.12,456.09,105479.05,1524668.64,12.8,32186.57,456628.41,28022,99,11.31
