Date,Company,Customer Acquisition Costs (CAC),Churn Rate (%),Average Order Size ($),Monthly Recurring Revenue (MRR) ($),Annual Run Rate (ARR) ($),Cash Runway (Months),Burn Rate ($/Month),Gross Sales ($),Monthly Active Users (MAU),Net Promoter Score (NPS),LTV/CAC Ratio
2019-01-01,RetailCommerceCo_1,392.89,1.09,131.5,72195.53,800460.36,35.5,10989.94,337212.64,5139,-16,7.74
2019-02-01,RetailCommerceCo_1,293.96,18.79,59.18,142228.77,363684.77,8.5,27031.98,708309.11,32000,30,1.55
2019-03-01,RetailCommerceCo_1,56.98,7.16,152.57,57120.1,331377.8,16.3,33891.66,747688.42,40445,-31,9.97
2019-04-01,RetailCommerceCo_1,493.6,14.38,443.67,95466.9,887661.09,10.9,34864.07,979518.3,8727,0,10.15
2019-05-01,RetailCommerceCo_1,57.57,15.87,793.2,136161.74,923181.13,28.5,68025.98,831285.58,31363,-49,5.48
2019-06-01,RetailCommerceCo_1,73.09,24.18,701.9,27332.27,1753525.98,27.5,10873.94,187397.19,35181,-1,11.49
2019-07-01,RetailCommerceCo_1,201.47,10.92,407.55,125632.72,828982.9,17.3,45421.46,500722.3,28855,24,5.48
2019-08-01,RetailCommerceCo_1,246.44,1.86,927.27,6524.77,1396514.82,14.9,12296.53,617500.32,16035,-44,7.34
2019-09-01,RetailCommerceCo_1,282.01,13.99,868.11,15342.74,303486.9,30.4,24697.6,776128.93,18555,21,11.18
2019-10-01,RetailCommerceCo_1,162.23,11.25,175.66,100669.31,739516.84,34.2,6023.62,399898.35,38798,-43,4.62
2019-11-01,RetailCommerceCo_1,208.72,7.2,270.42,40488.81,496871.62,14.5,60334.37,58272.97,12720,-10,10.42
2019-12-01,RetailCommerceCo_1,129.17,19.5,178.79,88546.14,527733.47,9.0,45089.7,516662.98,13057,50,4.84
2020-01-01,RetailCommerceCo_1,100.25,13.42,303.82,19538.27,723737.7,20.4,48029.1,236716.59,39575,73,3.04
2020-02-01,RetailCommerceCo_1,498.7,14.37,163.91,125490.26,474626.57,11.6,13761.53,559876.89,35533,-22,1.55
2020-03-01,RetailCommerceCo_1,247.86,1.05,65.9,26440.37,1640108.09,29.0,34277.69,489621.55,20082,52,2.09
2020-04-01,RetailCommerceCo_1,439.64,19.33,402.57,125369.48,270394.56,25.5,66969.95,912209.96,3305,93,3.93
2020-05-01,RetailCommerceCo_1,78.2,8.79,625.01,48842.87,757691.1,18.1,26828.74,924982.55,27087,-12,11.93
2020-06-01,RetailCommerceCo_1,128.39,21.94,737.69,100983.15,814938.47,30.5,36994.23,152829.52,43999,12,3.01
2020-07-01,RetailCommerceCo_1,297.72,16.73,349.22,7848.34,1193918.0,7.9,67768.78,889532.19,43158,82,11.81
2020-08-01,RetailCommerceCo_1,255.44,20.29,586.01,146614.21,463069.09,6.4,17086.59,145458.41,7106,98,3.42
2020-09-01,RetailCommerceCo_1,75.24,12.68,281.44,71709.08,181865.27,21.5,13454.5,117359.52,29009,-42,10.62
2020-10-01,RetailCommerceCo_1,400.61,24.02,470.99,48241.33,1748330.36,17.5,5591.72,823706.44,25145,-39,1.17
2020-11-01,RetailCommerceCo_1,82.17,12.61,86.54,133517.37,1355767.45,15.8,43838.83,721216.2,36861,74,7.08
2020-12-01,RetailCommerceCo_1,374.04,9.51,379.1,146538.77,235055.79,31.3,56268.48,73077.08,48055,-46,3.32
2021-01-01,RetailCommerceCo_1,480.36,9.69,75.67,79137.32,390590.23,18.8,11607.77,114049.51,33896,86,4.69
2021-02-01,RetailCommerceCo_1,102.98,14.93,80.95,113405.35,115176.52,35.1,52815.61,899268.43,33085,-12,3.16
2021-03-01,RetailCommerceCo_1,391.15,22.84,64.81,129265.21,801645.04,14.7,7546.72,221412.31,41611,-41,3.08
2021-04-01,RetailCommerceCo_1,376.32,17.48,774.44,26458.15,100421.58,20.1,27281.01,781198.42,36179,6,11.24
2021-05-01,RetailCommerceCo_1,58.77,9.73,417.14,20631.64,1059436.21,7.2,51327.13,56694.3,23892,32,2.71
2021-06-01,RetailCommerceCo_1,92.57,18.31,778.77,111401.46,741489.53,35.7,27097.98,260373.97,8544,-34,5.75
2021-07-01,RetailCommerceCo_1,426.68,14.74,639.97,148315.94,1391710.56,14.6,55243.32,929917.01,7880,43,9.99
2021-08-01,RetailCommerceCo_1,141.78,11.42,696.37,38042.07,356636.45,19.9,55908.1,603945.95,36671,-16,3.44
2021-09-01,RetailCommerceCo_1,172.99,17.98,534.71,17905.93,267416.81,17.4,27005.33,854700.7,12245,-22,1.31
2021-10-01,RetailCommerceCo_1,78.11,17.81,850.16,117815.62,1426818.84,13.8,69290.59,104680.37,20022,41,2.06
2021-11-01,RetailCommerceCo_1,155.74,12.89,72.27,60337.36,645803.14,25.4,51670.87,108685.39,14754,82,5.18
2021-12-01,RetailCommerceCo_1,201.32,11.11,845.82,73418.95,582296.33,11.5,23370.05,473475.2,35196,21,1.38
2022-01-01,RetailCommerceCo_1,111.66,12.51,408.6,126746.8,216599.96,7.5,10663.92,684530.82,27208,-31,7.95
2022-02-01,RetailCommerceCo_1,103.75,13.39,772.32,103213.7,803109.54,9.1,61592.26,535680.26,19141,94,3.37
2022-03-01,RetailCommerceCo_1,365.36,20.01,694.52,64427.07,1583244.48,15.8,49659.96,880109.8,8264,23,8.18
2022-04-01,RetailCommerceCo_1,453.45,3.47,162.84,57981.83,1789895.92,12.7,26106.82,838394.79,26113,13,11.96
2022-05-01,RetailCommerceCo_1,377.26,24.02,161.51,36400.72,682496.11,7.5,8944.96,905744.99,36148,75,7.99
2022-06-01,RetailCommerceCo_1,159.52,2.99,443.44,107057.74,524656.89,9.6,69918.26,430496.88,26705,-28,2.81
2022-07-01,RetailCommerceCo_1,435.51,20.67,621.05,82983.46,1713755.67,12.8,32000.58,44171.7,45905,8,5.23
2022-08-01,RetailCommerceCo_1,476.26,9.6,838.09,115455.86,285555.16,34.9,46012.77,604619.52,8500,70,8.69
2022-09-01,RetailCommerceCo_1,56.15,5.45,116.65,57974.48,1437183.63,27.2,11935.18,802491.97,5235,43,1.36
2022-10-01,RetailCommerceCo_1,135.2,19.84,738.63,29875.97,91486.34,14.9,56670.25,939622.67,41581,-50,2.0
