Date,Company,Customer Acquisition Costs (CAC),Churn Rate (%),Average Order Size ($),Monthly Recurring Revenue (MRR) ($),Annual Run Rate (ARR) ($),Cash Runway (Months),Burn Rate ($/Month),Gross Sales ($),Monthly Active Users (MAU),Net Promoter Score (NPS),LTV/CAC Ratio
2019-01-01,HospitalityTourismCo_1,109.26,20.07,298.66,104321.73,237341.07,27.3,20145.39,217018.76,23017,63,7.18
2019-02-01,HospitalityTourismCo_1,551.17,6.44,405.86,27379.99,609510.09,7.7,52930.32,782922.91,19107,66,10.04
2019-03-01,HospitalityTourismCo_1,426.74,12.32,352.74,96963.05,334332.7,18.9,35311.29,667950.38,9383,63,7.04
2019-04-01,HospitalityTourismCo_1,203.54,21.09,639.16,98591.69,94076.13,20.6,10743.04,543901.95,20835,21,9.52
2019-05-01,HospitalityTourismCo_1,85.84,13.32,142.75,67389.99,879297.91,19.9,18939.86,40377.37,20496,80,10.57
2019-06-01,HospitalityTourismCo_1,453.51,22.43,747.13,54496.03,1008731.67,17.9,55413.93,456933.69,4275,12,1.16
2019-07-01,HospitalityTourismCo_1,366.55,18.81,242.75,2710.5,1073907.59,16.1,27441.01,456211.14,8229,59,6.99
2019-08-01,HospitalityTourismCo_1,489.69,3.84,268.63,117281.95,423127.84,18.4,18999.97,382747.05,15323,16,6.42
2019-09-01,HospitalityTourismCo_1,498.15,21.58,493.11,14990.95,592023.91,25.0,6582.51,30626.63,2971,97,2.7
2019-10-01,HospitalityTourismCo_1,96.44,13.62,669.54,26248.86,1395182.15,11.6,43395.88,733369.19,21347,46,8.28
2019-11-01,HospitalityTourismCo_1,365.81,3.18,64.86,118305.34,403796.32,8.2,33693.32,260389.06,17443,-10,9.94
2019-12-01,HospitalityTourismCo_1,291.17,9.77,296.45,79595.36,752468.95,20.2,8742.53,543597.93,12897,51,3.16
2020-01-01,HospitalityTourismCo_1,467.84,22.11,180.97,54792.96,1263192.44,20.6,49469.46,184366.03,19608,5,1.65
2020-02-01,HospitalityTourismCo_1,584.8,4.95,698.67,38571.7,69246.45,13.2,31813.07,98815.88,17952,-35,2.64
2020-03-01,HospitalityTourismCo_1,455.41,12.06,786.6,7593.11,684637.4,14.6,44403.57,102240.39,15206,40,11.43
2020-04-01,HospitalityTourismCo_1,299.63,11.9,421.78,50469.28,650995.64,19.9,59889.76,106402.27,21325,42,3.32
2020-05-01,HospitalityTourismCo_1,349.3,1.07,740.82,64203.39,1291598.25,16.3,11546.01,165949.65,4224,70,1.56
2020-06-01,HospitalityTourismCo_1,114.36,2.98,473.74,50089.47,657518.96,23.3,21466.18,158754.23,3436,-32,11.93
2020-07-01,HospitalityTourismCo_1,573.98,23.96,70.72,11644.68,77273.14,30.5,59508.0,441245.77,13024,-20,1.29
2020-08-01,HospitalityTourismCo_1,481.89,18.31,565.94,15279.54,1324379.06,33.0,54314.88,297884.48,3223,32,1.56
2020-09-01,HospitalityTourismCo_1,82.33,14.65,291.05,69967.12,858324.7,33.2,53290.15,579088.03,1331,18,1.17
